Price,Age_08_04,KM,HP,cc,Doors,Gears,Quarterly_Tax,Weight,,Price,Pred,error,,,
13500,23,46986,90,2000,3,5,210,1165,,13500,16822.43082,-3322.430821,1677.569179,,
13750,23,72937,90,2000,3,5,210,1165,,13750,21635.84671,-7885.846708,-2885.846708,,
13950,24,41711,90,2000,3,5,210,1165,,13950,22289.63576,-8339.635758,-3339.635758,,
14950,26,48000,90,2000,3,5,210,1165,,14950,21945.90479,-6995.904786,-1995.904786,,
13750,30,38500,90,2000,3,5,210,1170,,13750,22309.28034,-8559.280336,-3559.280336,,-5478.477784
12950,32,61000,90,2000,3,5,210,1170,,12950,20999.54743,-8049.547427,-3049.547427,,-121.699859
16900,27,94612,90,2000,3,5,210,1245,,16900,22171.64989,-5271.649891,-271.649891,,-0.020938
18600,30,75889,90,2000,3,5,210,1245,,18600,22181.84738,-3581.847378,1418.152622,,31.32689
21500,27,19700,192,1800,3,5,100,1185,,21500,25504.18357,-4004.183567,995.816433,,598.965326
12950,23,71138,69,1900,3,5,185,1105,,12950,20040.41436,-7090.414364,-2090.414364,,3.737135
20950,25,31461,192,1800,3,6,100,1185,,20950,26100.29679,-5150.296793,-150.296793,,16.72511
19950,22,43610,192,1800,3,6,100,1185,,19950,26211.02061,-6261.020608,-1261.020608,,
19600,25,32189,192,1800,3,6,100,1185,,19600,26085.05393,-6485.053929,-1485.053929,,
21500,31,23000,192,1800,3,6,100,1185,,21500,25547.25406,-4047.254057,952.745943,,
22500,32,34131,192,1800,3,6,100,1185,,22500,25192.49332,-2692.49332,2307.50668,,
22000,28,18739,192,1800,3,6,100,1185,,22000,26001.57045,-4001.570452,998.429548,,
22750,30,34000,192,1800,3,5,100,1185,,22750,24839.67059,-2089.67059,2910.32941,,
17950,24,21716,110,1600,3,5,85,1105,,17950,21864.20133,-3914.201331,1085.798669,,
16750,24,25563,110,1600,3,5,19,1065,,16750,20867.99754,-4117.997535,882.002465,,
16950,30,64359,110,1600,3,5,85,1105,,16950,20241.14304,-3291.143043,1708.856957,,
15950,30,67660,110,1600,3,5,85,1105,,15950,20172.02671,-4222.026705,777.973295,,
16950,29,43905,110,1600,3,5,100,1170,,16950,21934.29793,-4984.297929,15.702071,,
15950,28,56349,110,1600,3,5,85,1120,,15950,20903.13279,-4953.132791,46.867209,,
16950,28,32220,110,1600,3,5,85,1120,,16950,21408.34579,-4458.345793,541.654207,,
16250,29,25813,110,1600,3,5,85,1120,,16250,21420.7957,-5170.7957,-170.7957,,
15950,25,28450,110,1600,3,5,85,1120,,15950,21852.38163,-5902.38163,-902.38163,,
17495,27,34545,110,1600,3,5,85,1120,,17495,21481.3648,-3986.364802,1013.635198,,
15750,29,41415,110,1600,3,5,85,1120,,15750,21094.12102,-5344.121024,-344.121024,,
16950,28,44142,110,1600,3,5,85,1120,,16950,21158.72296,-4208.722957,791.277043,,
17950,30,11090,110,1600,3,5,85,1120,,17950,21607.36602,-3657.366015,1342.633985,,
12950,29,9750,97,1400,3,5,19,1100,,12950,20768.72011,-7818.720114,-2818.720114,,
15750,22,35199,97,1400,3,5,85,1100,,15750,21334.41888,-5584.418875,-584.418875,,
15950,27,29510,97,1400,3,5,85,1100,,15950,20845.03586,-4895.035862,104.964138,,
14950,26,32692,97,1400,3,5,85,1100,,14950,20900.11101,-5950.111005,-950.111005,,
15500,22,41000,97,1400,3,5,85,1100,,15500,21212.95754,-5712.957537,-712.957537,,
15750,26,43000,97,1400,3,5,85,1100,,15750,20684.2821,-4934.282101,65.717899,,
15950,25,25000,97,1400,3,5,85,1100,,15950,21182.86596,-5232.86596,-232.86596,,
14950,23,10000,97,1400,3,5,85,1100,,14950,21740.33568,-6790.335678,-1790.335678,,
15750,32,25329,97,1400,3,5,85,1100,,15750,20324.07835,-4574.078345,425.921655,,
14750,27,27500,97,1400,3,5,85,1100,,14750,20887.12124,-6137.121242,-1137.121242,,
